caseId,receivedDate,caseStatus
YSC1790000520,11/29/2016,Card Was Delivered To Me By The Post Office
YSC1790000521,11/22/2016,Card Was Delivered To Me By The Post Office
YSC1790000522,09/30/2016,Case Was Received
YSC1790000523,09/30/2016,Case Was Received
YSC1790000524,11/22/2016,Card Was Mailed To Me
YSC1790000525,10/03/2016,Case Was Received
YSC1790000526,10/03/2016,Case Was Received
YSC1790000527,10/03/2016,Case Was Received
YSC1790000528,10/03/2016,Case Was Received
YSC1790000529,10/03/2016,Case Was Received
YSC1790000530,10/03/2016,Case Was Received
YSC1790000531,10/03/2016,Case Was Received
YSC1790000532,10/03/2016,Case Was Received
YSC1790000533,10/03/2016,Case Was Received
YSC1790000534,10/03/2016,Case Was Received
YSC1790000535,10/03/2016,Case Was Received
YSC1790000536,10/03/2016,Case Was Received
YSC1790000537,10/03/2016,Case Was Received
YSC1790000538,10/03/2016,Case Was Received
YSC1790000539,10/03/2016,Case Was Received
YSC1790000540,11/22/2016,Card Was Mailed To Me
YSC1790000541,11/22/2016,Card Was Mailed To Me
YSC1790000542,11/23/2016,Card Was Mailed To Me
YSC1790000543,09/29/2016,Case Was Received
YSC1790000544,11/21/2016,Card Was Mailed To Me
YSC1790000545,11/22/2016,Card Was Mailed To Me
